Date,Price,Open,High,Low,Vol.,Change %
2018-06-22 00:00:00,274.74,275.66,275.79,274.49,56.61M,0.18%
2018-06-21 00:00:00,274.24,275.96,275.98,273.68,71.06M,-0.63%
2018-06-20 00:00:00,275.97,276.27,276.72,275.59,53.79M,0.17%
2018-06-19 00:00:00,275.5,274.0,275.75,273.53,97.53M,-0.38%
2018-06-18 00:00:00,276.56,275.49,276.7,274.95,52.92M,-0.21%
2018-06-15 00:00:00,277.13,276.6,277.51,275.35,120.04M,-0.57%
2018-06-14 00:00:00,278.73,279.01,279.33,278.06,77.10M,0.25%
2018-06-13 00:00:00,278.03,279.19,279.48,277.8,79.07M,-0.32%
2018-06-12 00:00:00,278.92,279.03,279.33,278.19,72.33M,0.13%
2018-06-11 00:00:00,278.56,278.44,279.37,278.31,58.89M,0.13%
2018-06-08 00:00:00,278.19,276.85,278.25,276.66,72.14M,0.30%
2018-06-07 00:00:00,277.37,277.95,278.28,276.34,72.97M,-0.01%
2018-06-06 00:00:00,277.4,275.79,277.52,275.09,62.73M,0.84%
2018-06-05 00:00:00,275.1,275.05,275.53,274.18,51.14M,0.07%
2018-06-04 00:00:00,274.9,274.53,275.19,274.26,45.39M,0.48%
2018-06-01 00:00:00,273.6,272.41,273.94,272.33,71.26M,0.98%
2018-05-31 00:00:00,270.94,272.15,272.49,270.25,93.52M,-0.61%
2018-05-30 00:00:00,272.61,270.5,273.11,270.42,69.68M,1.33%
2018-05-29 00:00:00,269.02,270.31,271.17,267.76,115.91M,-1.15%
2018-05-25 00:00:00,272.15,272.15,272.86,271.58,56.37M,-0.24%
2018-05-24 00:00:00,272.8,272.91,273.22,270.78,76.04M,-0.20%
2018-05-23 00:00:00,273.36,271.17,273.39,270.99,64.69M,0.28%
2018-05-22 00:00:00,272.61,273.96,274.25,272.24,52.97M,-0.28%
2018-05-21 00:00:00,273.37,273.01,273.98,271.35,58.03M,0.75%
2018-05-18 00:00:00,271.33,271.62,272.03,270.93,64.37M,-0.25%
2018-05-17 00:00:00,272.01,271.94,273.23,271.13,56.54M,-0.08%
2018-05-16 00:00:00,272.24,271.14,272.76,271.11,53.94M,0.42%
2018-05-15 00:00:00,271.1,271.59,271.61,270.03,87.04M,-0.69%
2018-05-14 00:00:00,272.98,273.34,274.08,272.36,54.79M,0.05%
2018-05-11 00:00:00,272.85,272.16,273.15,271.58,59.87M,0.31%
2018-05-10 00:00:00,272.02,270.34,272.39,270.22,72.06M,0.94%
2018-05-09 00:00:00,269.5,267.68,269.87,267.09,59.67M,0.97%
2018-05-08 00:00:00,266.92,266.5,267.32,265.15,67.50M,0.00%
2018-05-07 00:00:00,266.92,266.89,268.02,266.11,55.30M,0.34%
2018-05-04 00:00:00,266.02,261.52,266.79,261.15,91.22M,1.29%
2018-05-03 00:00:00,262.62,262.26,263.36,259.05,136.31M,-0.22%
2018-05-02 00:00:00,263.2,264.76,265.68,262.76,86.37M,-0.67%
2018-05-01 00:00:00,264.98,263.87,265.1,262.11,74.20M,0.18%
2018-04-30 00:00:00,264.51,267.26,267.89,264.43,82.18M,-0.77%
2018-04-27 00:00:00,266.56,267.0,267.34,265.5,57.05M,0.09%
2018-04-26 00:00:00,266.31,264.79,267.25,264.29,67.73M,1.02%
2018-04-25 00:00:00,263.63,262.91,264.13,260.85,103.84M,0.25%
2018-04-24 00:00:00,262.98,267.73,267.98,261.28,112.89M,-1.35%
2018-04-23 00:00:00,266.57,267.26,267.89,265.35,65.56M,-0.01%
2018-04-20 00:00:00,266.61,268.81,269.06,265.61,99.95M,-0.85%
2018-04-19 00:00:00,268.89,269.65,269.88,267.72,77.66M,-0.55%
2018-04-18 00:00:00,270.39,270.69,271.3,269.87,57.30M,0.07%
2018-04-17 00:00:00,270.19,269.33,270.87,268.75,64.68M,1.07%
2018-04-16 00:00:00,267.33,267.0,268.2,266.07,63.41M,0.82%
2018-04-13 00:00:00,265.15,267.41,267.54,264.01,85.08M,-0.29%
2018-04-12 00:00:00,265.93,265.26,267.0,265.06,68.89M,0.82%
2018-04-11 00:00:00,263.76,263.47,265.64,263.39,91.14M,-0.52%
2018-04-10 00:00:00,265.15,264.27,266.04,262.98,105.57M,1.59%
2018-04-09 00:00:00,261.0,261.37,264.84,259.94,105.44M,0.49%
2018-04-06 00:00:00,259.72,263.42,265.11,258.0,179.52M,-2.23%
2018-04-05 00:00:00,265.64,265.55,266.64,264.32,82.65M,0.79%
2018-04-04 00:00:00,263.56,256.75,264.36,256.6,123.72M,1.07%
2018-04-03 00:00:00,260.77,258.87,261.31,256.84,119.96M,1.28%
2018-04-02 00:00:00,257.47,262.55,263.13,254.67,186.29M,-2.16%
2018-03-29 00:00:00,263.15,261.12,265.26,259.84,124.24M,1.28%
2018-03-28 00:00:00,259.83,260.75,262.64,258.58,146.45M,-0.30%
2018-03-27 00:00:00,260.6,266.17,266.77,258.84,129.94M,-1.70%
